darshan_library_warning: unable to create log file /lustre/orion/darshan/crusher/2025/7/9/csgoethe_run_id8104-622189_7-9-50180-17480607622538169099.darshan_partial.
Hello from rank 0 of 16 total 
Hello from rank 1 of 16 total 
Hello from rank 7 of 16 total 
Hello from rank 9 of 16 total 
Hello from rank 13 of 16 total 
Hello from rank 15 of 16 total 
Hello from rank 2 of 16 total 
Hello from rank 3 of 16 total 
Hello from rank 4 of 16 total 
Hello from rank 5 of 16 total 
Hello from rank 6 of 16 total 
Hello from rank 8 of 16 total 
Hello from rank 10 of 16 total 
Hello from rank 11 of 16 total 
Hello from rank 12 of 16 total 
Hello from rank 14 of 16 total 
